watch_id,user_id,content_id,watch_date,session_duration,completion_rate
80,19,C0226,2026-01-16,33.1,62.47
81,19,C0184,2026-05-09,93.2,73.39
82,20,C0364,2024-07-09,1.6,3.0
83,20,C0407,2024-09-16,19.1,27.74
84,20,C0241,2025-02-02,4.3,3.0
85,20,C0308,2025-04-07,48.3,74.31
86,20,C0402,2025-09-11,27.0,40.98
87,20,C0289,2025-10-07,45.4,51.59
88,20,C0293,2026-04-16,41.4,33.65
89,21,C0167,2025-01-01,26.4,35.71
90,21,C0159,2025-08-22,132.5,78.86
91,21,C0113,2025-08-22,41.3,33.86
92,21,C0454,2025-09-03,3.3,3.61
93,21,C0407,2025-12-29,39.6,57.4
94,21,C0141,2026-02-07,38.4,23.86
95,21,C0423,2026-04-14,55.6,50.52
96,22,C0381,2025-10-04,69.4,66.69
97,22,C0245,2025-10-06,82.4,65.88
98,23,C0260,2026-05-04,75.4,63.4
99,24,C0414,2025-08-14,50.9,64.46
100,24,C0062,2025-11-01,51.7,30.22
101,24,C0195,2025-12-24,30.5,67.8
102,24,C0037,2025-12-30,31.4,25.95
103,24,C0015,2025-12-30,23.7,21.15
104,24,C0471,2026-01-09,66.8,58.1
105,24,C0042,2026-03-08,111.8,93.15
106,25,C0419,2026-03-11,43.1,42.25
107,25,C0093,2026-04-08,77.9,68.97
108,26,C0365,2026-02-25,53.3,48.03
109,26,C0097,2026-05-16,33.7,27.82
110,26,C0082,2026-06-16,39.8,36.84
111,29,C0243,2025-11-08,65.6,55.56
112,29,C0347,2026-04-18,85.4,53.03
113,29,C0467,2026-04-28,29.0,25.24
114,32,C0230,2025-12-12,64.1,54.8
115,32,C0083,2026-02-06,50.2,57.69
116,32,C0138,2026-03-05,60.4,59.22
117,32,C0374,2026-04-22,72.9,65.06
118,33,C0307,2026-05-31,84.9,61.06
119,34,C0100,2025-09-30,48.4,48.91
120,34,C0303,2025-10-02,4.3,3.0
121,34,C0091,2026-02-23,108.0,70.14
122,35,C0497,2023-12-10,68.5,53.53
123,35,C0030,2024-02-12,59.8,64.97
124,35,C0314,2024-02-19,38.9,68.33
125,35,C0472,2024-03-04,102.7,84.21
126,35,C0318,2024-03-22,49.2,55.23
127,35,C0243,2024-06-05,74.8,63.39
128,35,C0412,2024-06-11,137.2,80.69
129,35,C0061,2024-08-11,75.5,71.95
130,35,C0016,2025-01-24,66.6,41.64
131,35,C0184,2025-08-21,66.2,52.13
132,35,C0112,2025-09-25,56.6,83.21
133,35,C0198,2025-11-22,73.7,99.59
134,35,C0482,2026-04-12,47.9,36.86
135,36,C0259,2026-02-19,61.8,80.31
136,36,C0384,2026-05-05,57.3,50.26
137,37,C0389,2024-03-06,87.2,66.57
138,37,C0241,2024-04-15,51.4,35.92
139,37,C0204,2025-06-07,57.2,54.0
140,37,C0461,2026-03-11,33.4,25.11
141,37,C0091,2026-03-25,106.1,68.88
142,37,C0356,2026-04-08,20.5,18.28
143,38,C0229,2024-01-28,47.9,50.45
144,38,C0449,2024-05-03,66.0,100.0
145,38,C0192,2024-07-26,39.8,86.54
146,38,C0476,2024-11-25,74.7,69.85
147,38,C0255,2025-04-01,85.6,67.9
148,38,C0408,2025-06-27,41.0,54.61
149,38,C0102,2025-09-28,30.6,66.57
150,38,C0094,2025-11-10,52.9,49.0
151,38,C0136,2026-01-24,71.7,70.96
152,38,C0449,2026-03-04,66.0,100.0
153,38,C0041,2026-03-20,83.8,51.76
154,38,C0241,2026-06-04,74.9,52.39
155,39,C0464,2025-12-31,46.4,45.97
156,40,C0129,2024-09-20,43.2,56.12
157,40,C0173,2026-02-06,43.3,39.33
158,40,C0061,2026-05-20,42.8,40.8
159,41,C0342,2026-04-02,81.3,52.77
160,42,C0319,2026-02-17,58.9,51.71
161,42,C0071,2026-03-06,56.3,45.77
162,42,C0157,2026-03-20,77.9,60.89
163,43,C0370,2024-11-23,49.4,38.26
164,43,C0475,2025-11-24,53.6,39.72
165,44,C0134,2023-09-01,16.7,20.82
166,44,C0114,2024-10-04,58.2,55.39
167,44,C0090,2026-01-31,35.7,35.66
168,45,C0214,2024-06-15,19.8,20.46
169,45,C0010,2024-09-25,37.6,37.19
170,45,C0302,2024-12-27,93.7,70.96
171,45,C0145,2025-06-19,57.9,49.04
172,45,C0033,2025-06-24,54.8,57.66
173,45,C0327,2025-09-08,53.5,55.76
174,46,C0198,2026-06-16,31.0,41.85
175,47,C0218,2024-09-28,49.6,77.54
176,47,C0344,2025-05-21,85.3,71.65
177,47,C0489,2025-05-22,72.6,74.04
178,47,C0280,2025-08-03,59.3,67.4
179,47,C0149,2026-05-21,66.0,82.53
180,49,C0233,2023-12-22,74.0,88.06
181,49,C0347,2024-02-08,80.5,50.0
182,49,C0184,2025-01-26,118.8,93.55
183,49,C0464,2025-04-23,55.2,54.69
184,49,C0269,2025-12-31,9.8,9.46
185,51,C0380,2025-05-02,19.4,14.92
186,51,C0067,2025-08-05,27.2,51.39
187,51,C0238,2025-09-21,25.0,24.79
188,51,C0106,2026-02-25,53.4,38.41
189,52,C0471,2024-06-19,103.3,89.84
190,52,C0065,2024-10-14,59.2,42.6
191,52,C0294,2024-12-14,60.0,38.2
192,52,C0263,2025-07-04,51.7,41.71
193,52,C0044,2025-07-20,57.1,60.11
194,52,C0392,2026-03-05,71.6,56.86
195,53,C0169,2025-10-27,59.4,72.47
196,53,C0316,2026-01-19,96.7,59.33
197,53,C0327,2026-02-01,54.4,56.65
198,53,C0237,2026-03-13,67.0,48.92
199,53,C0324,2026-05-08,68.4,58.44
200,55,C0266,2024-04-08,27.0,45.78
201,55,C0416,2024-04-12,60.7,67.44
202,55,C0163,2024-05-28,46.7,53.09
203,55,C0218,2024-08-04,23.5,36.79
204,55,C0039,2025-04-14,77.8,77.85
205,55,C0422,2025-04-21,74.0,59.64
206,55,C0149,2025-06-23,12.4,15.47
207,55,C0405,2025-11-28,99.7,73.82
208,55,C0123,2026-03-20,26.0,41.31
209,55,C0196,2026-06-14,45.5,44.57
210,56,C0020,2024-04-19,98.3,91.86
211,56,C0187,2024-08-03,55.0,45.82
212,56,C0312,2025-05-08,53.4,36.1
213,56,C0032,2025-08-12,70.2,59.98
214,56,C0468,2025-10-26,66.3,59.7
215,56,C0249,2025-11-01,110.9,90.17
216,56,C0198,2026-02-09,38.3,51.82
217,56,C0495,2026-05-18,41.2,37.42
218,57,C0452,2025-02-20,70.2,67.5
219,57,C0224,2025-03-21,32.6,27.13
220,57,C0166,2025-10-31,14.0,20.63
221,57,C0117,2026-03-15,43.5,40.62
222,57,C0046,2026-06-19,38.9,31.91
223,58,C0265,2025-09-10,86.1,68.35
224,58,C0406,2025-12-29,60.7,62.63
225,58,C0496,2026-02-13,31.8,34.24
226,58,C0265,2026-03-19,126.0,100.0
227,58,C0218,2026-05-31,43.4,67.74
228,58,C0129,2026-06-02,47.2,61.31
229,58,C0350,2026-06-04,67.3,64.09
230,59,C0290,2025-09-26,21.4,47.65
231,59,C0100,2025-11-14,49.4,49.9
232,59,C0036,2026-01-09,103.6,97.78
233,59,C0225,2026-01-20,107.6,69.86
234,59,C0452,2026-02-13,59.0,56.73
235,59,C0124,2026-04-01,46.3,50.36
236,62,C0405,2026-03-18,109.3,80.98
237,62,C0206,2026-03-24,118.3,96.96
238,62,C0403,2026-03-27,45.8,88.09
239,62,C0098,2026-04-09,30.8,32.75
240,62,C0499,2026-05-10,89.0,92.67
241,63,C0472,2024-08-20,49.3,40.41
242,63,C0269,2024-11-08,16.1,15.45
243,63,C0090,2024-11-25,39.9,39.92
244,63,C0401,2025-10-08,45.5,49.96
245,63,C0368,2026-03-23,34.5,25.17
246,64,C0224,2023-10-02,3.6,3.0
247,64,C0474,2023-10-21,25.8,30.0
248,64,C0067,2025-12-31,17.0,32.07
249,65,C0187,2026-06-30,30.2,25.15
250,66,C0139,2025-01-14,59.4,56.55
251,66,C0078,2025-07-18,42.1,33.93
252,66,C0462,2025-11-27,25.5,46.44
253,66,C0448,2026-03-26,23.8,43.32
254,67,C0274,2025-10-05,56.2,68.52
255,68,C0419,2024-03-19,64.5,63.27
256,68,C0150,2024-03-23,48.2,29.37
257,68,C0384,2024-06-30,83.2,73.0
258,68,C0444,2024-08-22,34.5,43.11
259,68,C0301,2024-11-19,51.0,58.67
260,68,C0118,2024-12-30,38.2,37.08
261,68,C0021,2025-01-15,90.8,82.51
262,68,C0036,2025-04-17,67.5,63.72
263,68,C0292,2025-07-28,58.9,56.66
264,68,C0228,2025-11-02,48.6,33.49
265,68,C0004,2026-04-03,64.0,61.52
266,69,C0031,2023-12-11,32.2,35.42
267,69,C0173,2024-01-04,46.7,42.47
268,69,C0134,2024-01-16,52.3,65.41
269,69,C0439,2024-01-29,55.8,37.43
270,69,C0267,2024-04-27,43.8,29.38
271,69,C0258,2024-07-18,34.2,37.55
272,69,C0456,2024-12-05,92.7,75.99
273,69,C0010,2025-07-18,38.4,38.01
274,69,C0045,2026-02-06,64.0,54.25
275,69,C0046,2026-03-31,10.0,8.22
276,69,C0245,2026-05-07,49.8,39.88
277,70,C0491,2026-01-14,76.0,69.07
278,70,C0440,2026-05-26,62.1,63.38
279,71,C0318,2026-02-20,31.7,35.63
280,71,C0092,2026-05-06,79.8,75.33
281,71,C0081,2026-05-12,64.7,57.25
282,72,C0084,2024-12-24,71.5,70.81
283,72,C0361,2025-01-15,56.3,56.27
284,72,C0461,2025-03-05,71.0,53.37
285,72,C0165,2025-07-27,39.1,37.57
286,72,C0235,2025-09-18,67.5,65.52
287,72,C0192,2025-10-12,29.5,64.08
288,72,C0275,2025-10-25,68.8,50.96
289,72,C0342,2025-11-22,84.3,54.73
290,72,C0364,2025-12-09,35.7,68.74
291,72,C0453,2025-12-21,32.1,64.25
292,72,C0444,2026-02-03,49.9,62.32
293,73,C0069,2024-01-05,76.3,45.98
294,74,C0072,2025-10-15,61.3,51.54
295,75,C0366,2025-11-30,13.8,27.65
296,75,C0363,2026-01-12,54.4,54.37
297,75,C0114,2026-06-16,29.7,28.31
298,76,C0384,2025-05-13,18.6,16.33
299,77,C0471,2025-07-29,58.5,50.89
300,77,C0375,2025-09-19,41.8,27.14
301,77,C0192,2026-01-16,11.5,24.96
302,77,C0365,2026-03-20,50.1,45.18
303,77,C0417,2026-05-31,49.3,56.64
304,77,C0086,2026-06-10,16.8,11.71
305,78,C0211,2024-04-15,86.3,81.45
306,78,C0167,2024-04-19,39.9,53.97
307,78,C0357,2024-04-19,114.8,88.32
308,78,C0357,2024-06-13,56.9,43.8
309,78,C0008,2024-07-18,62.0,45.27
310,78,C0159,2024-07-20,110.7,65.88
311,78,C0398,2024-12-04,51.2,44.9
312,78,C0262,2025-04-07,82.4,55.29
313,78,C0428,2025-07-02,62.3,58.23
314,78,C0041,2026-04-09,98.3,60.69
315,78,C0004,2026-05-27,22.3,21.45
316,79,C0125,2025-02-22,47.5,41.32
317,79,C0364,2025-04-07,33.3,64.05
318,79,C0157,2025-04-14,78.7,61.52
319,79,C0491,2025-07-11,72.5,65.87
320,79,C0409,2025-08-23,49.9,70.35
321,79,C0464,2025-09-16,72.2,71.47
322,79,C0265,2025-09-21,102.9,81.69
323,79,C0126,2025-12-12,90.0,84.15
324,79,C0356,2026-01-07,50.0,44.62
325,79,C0100,2026-02-11,93.8,94.7
326,79,C0194,2026-03-30,49.6,61.23
327,79,C0086,2026-05-12,133.7,93.47
328,80,C0249,2026-06-03,84.3,68.52
329,81,C0086,2024-06-26,108.1,75.63
330,81,C0497,2024-09-26,76.1,59.43
331,81,C0315,2024-11-15,36.1,19.92
332,81,C0140,2024-12-31,26.7,24.03
333,81,C0402,2025-01-19,36.7,55.56
334,81,C0406,2025-08-07,66.6,68.64
335,81,C0369,2025-10-10,19.6,42.58
336,81,C0136,2026-06-18,78.7,77.91
337,82,C0441,2025-10-30,62.4,64.98
338,82,C0044,2026-03-06,46.7,49.21
339,82,C0090,2026-03-19,34.9,34.93
340,83,C0013,2023-12-24,63.5,43.23
341,83,C0469,2025-06-08,77.5,58.26
342,83,C0275,2026-05-25,26.0,19.24
343,84,C0233,2026-01-23,71.0,84.53
344,85,C0272,2026-03-02,44.0,31.69
345,86,C0226,2023-12-15,53.0,100.0
346,86,C0399,2024-01-13,43.9,51.09
347,86,C0243,2024-01-31,113.8,96.45
348,86,C0337,2024-03-01,35.2,43.49
349,86,C0431,2024-04-13,46.0,43.02
350,86,C0112,2024-08-29,47.1,69.2
351,86,C0112,2024-10-16,26.2,38.58
352,86,C0180,2024-11-07,85.8,79.4
353,86,C0201,2024-11-27,89.6,61.8
354,86,C0253,2025-01-03,53.2,50.68
355,86,C0316,2025-02-24,67.4,41.37
356,86,C0405,2025-10-19,48.1,35.66
357,86,C0338,2026-03-18,17.3,15.62
358,87,C0287,2024-01-22,47.6,34.02
359,87,C0499,2024-06-25,75.9,79.09
360,87,C0230,2025-05-18,54.6,46.63
361,87,C0470,2025-05-18,61.9,72.81
362,87,C0253,2025-06-05,66.7,63.49
363,87,C0117,2025-10-18,51.9,48.47
364,87,C0122,2026-01-15,67.4,59.61
365,87,C0096,2026-03-30,71.7,55.19
366,89,C0246,2026-01-22,94.9,61.64
367,90,C0426,2024-08-19,43.4,34.48
368,90,C0115,2025-03-19,73.7,51.53
369,90,C0310,2025-06-28,66.7,60.1
370,90,C0167,2025-11-24,33.1,44.73
371,90,C0053,2025-12-22,79.5,75.0
372,90,C0163,2026-05-21,40.3,45.77
373,91,C0010,2025-12-07,25.9,25.69
374,91,C0154,2025-12-12,15.0,12.31
375,91,C0255,2026-04-28,57.4,45.55
376,92,C0008,2026-05-26,74.5,54.38
377,93,C0080,2024-07-07,67.6,62.05
378,93,C0302,2024-07-16,58.5,44.33
379,93,C0165,2024-08-16,60.7,58.34
380,93,C0328,2024-12-15,59.2,51.03
381,93,C0261,2025-01-06,40.6,54.92
382,93,C0150,2025-06-01,75.2,45.83
383,93,C0084,2025-07-26,50.5,50.0
384,93,C0098,2025-09-12,58.7,62.41
385,93,C0472,2025-12-20,102.1,83.72
386,93,C0137,2026-02-06,56.2,55.11
387,93,C0136,2026-05-23,38.3,37.91
388,94,C0050,2026-05-12,16.0,14.84
389,95,C0322,2025-11-15,47.8,60.52
390,95,C0270,2025-12-14,39.5,27.26
391,96,C0253,2026-02-04,78.9,75.14
392,96,C0178,2026-03-28,100.9,65.07
393,96,C0090,2026-03-28,40.9,40.87
394,97,C0091,2024-02-21,53.2,34.52
395,97,C0002,2024-03-24,63.5,47.77
396,98,C0157,2024-04-16,55.0,43.0
397,98,C0460,2024-06-05,43.0,38.09
398,99,C0456,2025-09-09,30.3,24.82
399,100,C0360,2024-05-30,36.3,36.35
400,100,C0250,2024-07-26,20.5,28.91
401,100,C0444,2024-08-06,67.6,84.55
402,100,C0243,2024-12-15,24.2,20.52
403,100,C0226,2025-04-18,53.0,100.0
404,100,C0128,2025-04-24,68.6,53.61
405,100,C0489,2025-07-20,47.7,48.68
406,100,C0167,2025-07-21,34.5,46.63
407,101,C0251,2026-03-14,44.3,79.11
408,102,C0003,2025-05-22,76.3,62.07
409,102,C0254,2025-08-03,98.0,100.0
410,102,C0238,2025-09-28,74.5,73.76
411,102,C0167,2025-11-09,37.3,50.43
412,102,C0054,2026-02-02,23.0,16.65
413,103,C0373,2025-09-09,20.0,26.32
414,103,C0347,2025-09-09,98.9,61.4
415,103,C0182,2026-03-05,23.6,24.57
416,105,C0362,2026-04-22,12.3,12.84
417,105,C0184,2026-05-03,85.2,67.06
418,106,C0226,2025-02-21,18.6,35.07
419,106,C0396,2025-04-13,138.6,97.64
420,106,C0032,2025-05-29,76.3,65.26
421,106,C0188,2025-12-27,19.1,42.44
422,107,C0313,2025-04-08,24.0,23.5
423,107,C0132,2026-04-16,3.1,3.0
424,108,C0058,2024-07-09,39.7,35.73
425,108,C0211,2024-10-17,45.5,42.92
426,108,C0392,2024-11-08,84.2,66.86
427,108,C0492,2025-08-22,63.1,37.1
428,108,C0380,2026-02-08,64.6,49.67
429,108,C0483,2026-06-20,57.5,70.97
430,109,C0043,2025-09-06,30.4,34.6
431,109,C0139,2026-04-25,87.7,83.49
432,110,C0117,2025-04-25,19.4,18.11
433,110,C0274,2025-07-31,42.0,51.19
434,110,C0321,2025-10-29,11.7,13.25
435,110,C0365,2025-11-08,24.9,22.44
436,111,C0439,2025-04-15,12.4,8.34
437,111,C0290,2025-07-16,17.8,39.65
438,111,C0471,2025-08-10,77.4,67.33
439,112,C0190,2025-01-10,83.2,76.31
440,112,C0379,2025-03-08,41.3,45.86
441,112,C0001,2025-12-29,56.1,68.45
442,112,C0470,2026-02-02,20.2,23.73
443,113,C0469,2023-08-26,54.4,40.89
444,113,C0010,2023-09-25,60.1,59.51
445,113,C0448,2024-11-16,40.4,73.43
446,113,C0395,2024-12-25,41.0,42.72
447,113,C0207,2025-03-09,126.2,97.83
448,113,C0112,2026-05-12,44.8,65.9
449,113,C0036,2026-05-22,82.6,77.95
450,114,C0248,2026-05-12,83.8,60.69
451,116,C0016,2025-10-20,144.5,90.34
452,116,C0495,2026-01-12,65.7,59.73
453,116,C0334,2026-03-10,26.8,28.55
454,116,C0249,2026-06-11,38.8,31.58
455,117,C0099,2026-01-07,18.9,23.87
456,118,C0347,2025-09-16,129.2,80.27
457,119,C0087,2026-05-28,57.4,46.66
458,120,C0153,2024-02-23,37.0,42.53
459,120,C0417,2024-03-14,44.4,51.0
460,120,C0203,2024-06-01,136.3,98.03
461,120,C0107,2024-07-05,57.9,44.54
462,120,C0410,2024-11-01,16.5,36.62
463,120,C0404,2024-12-18,58.6,79.24
464,120,C0093,2024-12-21,25.9,22.92
465,120,C0242,2025-03-22,55.7,81.89
466,120,C0304,2025-06-01,79.7,65.88
467,120,C0440,2025-10-28,38.3,39.11
468,120,C0277,2025-11-17,47.2,55.49
469,120,C0304,2026-01-30,72.0,59.49
470,120,C0243,2026-02-15,110.0,93.26
471,120,C0294,2026-03-23,94.0,59.88
472,120,C0417,2026-05-14,17.9,20.63
473,121,C0355,2025-08-16,36.2,47.58
474,122,C0248,2024-01-25,94.9,68.75
475,122,C0471,2024-07-28,62.1,54.02
476,122,C0215,2024-08-10,80.1,58.43
477,122,C0307,2024-08-31,98.0,70.47
478,122,C0092,2024-10-10,64.7,61.08
479,122,C0342,2025-04-03,114.9,74.64
480,122,C0328,2026-05-30,61.3,52.89
481,124,C0058,2026-01-21,63.2,56.9
482,124,C0459,2026-06-06,82.8,66.74
483,125,C0103,2024-07-21,88.3,79.51
484,125,C0004,2024-07-21,46.4,44.64
485,125,C0284,2024-07-24,79.6,60.73
486,125,C0079,2024-12-12,74.9,49.6
487,125,C0148,2025-01-27,46.8,47.29
488,125,C0436,2025-03-07,54.7,63.57
489,125,C0027,2025-05-23,81.8,68.16
490,125,C0119,2025-08-27,60.9,52.54
491,125,C0279,2025-12-29,46.9,47.36
492,125,C0042,2026-06-05,76.1,63.44
493,126,C0488,2024-07-20,34.3,27.66
494,126,C0098,2024-09-06,21.7,23.09
495,127,C0487,2025-07-16,20.1,27.6
496,128,C0080,2025-07-15,70.1,64.36
497,128,C0202,2025-09-26,21.3,19.51
498,128,C0114,2026-04-22,45.2,43.05
499,128,C0369,2026-05-12,25.1,54.53
500,128,C0189,2026-06-17,46.8,42.16
501,129,C0159,2024-06-05,76.6,45.59
502,129,C0260,2024-09-05,64.4,54.08
503,129,C0001,2025-01-24,33.0,40.25
504,129,C0351,2025-12-26,36.9,44.97
505,130,C0373,2023-11-28,45.3,59.59
506,130,C0226,2024-04-09,49.5,93.38
507,130,C0024,2024-05-07,85.6,70.72
508,130,C0476,2024-06-12,56.4,52.68
509,130,C0252,2024-06-18,31.0,28.43
510,130,C0045,2024-08-31,80.7,68.39
511,130,C0318,2024-09-28,51.9,58.28
512,130,C0476,2025-04-14,47.5,44.36
513,130,C0477,2025-04-23,80.4,66.41
514,130,C0260,2025-05-23,97.0,81.51
515,130,C0074,2025-08-31,66.8,57.58
516,130,C0070,2025-11-08,81.4,79.07
517,130,C0041,2026-05-06,90.9,56.13
518,132,C0440,2025-09-06,47.0,47.92
519,132,C0049,2025-11-11,31.5,45.67
520,132,C0413,2025-11-28,34.7,61.97
521,132,C0154,2026-02-08,39.5,32.41
522,132,C0172,2026-05-14,61.3,54.75
523,133,C0195,2024-03-27,20.2,44.98
524,133,C0220,2024-04-05,80.3,63.69
525,133,C0456,2024-05-31,79.1,64.84
526,133,C0114,2025-06-23,67.7,64.47
527,133,C0198,2025-07-10,51.1,69.04
528,133,C0352,2025-10-04,27.7,27.75
529,133,C0053,2026-03-27,91.8,86.61
530,133,C0130,2026-06-21,57.0,66.26
531,134,C0277,2026-06-05,30.5,35.89
532,135,C0142,2024-08-29,46.6,50.1
533,135,C0240,2025-01-23,22.9,23.81
534,135,C0148,2026-02-21,37.2,37.53
535,136,C0421,2025-10-26,24.1,45.5
536,136,C0085,2025-11-08,60.0,46.91
537,136,C0112,2026-04-17,45.1,66.39
538,136,C0187,2026-06-08,72.8,60.64
539,137,C0416,2026-02-23,28.7,31.88
540,138,C0208,2026-03-23,59.9,69.68
541,138,C0077,2026-06-02,8.2,18.2
542,140,C0413,2025-11-27,31.4,56.1
543,140,C0233,2025-12-31,70.3,83.63
544,140,C0121,2026-04-30,78.0,74.27
545,141,C0026,2025-03-01,37.0,33.32
546,141,C0126,2025-09-14,65.2,60.93
547,141,C0274,2025-10-20,44.7,54.51
548,141,C0114,2025-10-31,45.3,43.16
549,141,C0161,2026-02-18,28.9,41.23
550,141,C0427,2026-06-16,80.3,71.69
551,142,C0256,2026-05-05,8.5,6.4
552,143,C0042,2025-01-03,40.9,34.11
553,143,C0258,2025-09-27,38.6,42.36
554,144,C0383,2026-05-28,71.0,46.68
555,145,C0029,2024-08-02,47.2,47.23
556,145,C0216,2024-09-06,45.5,46.4
557,145,C0187,2025-02-16,32.4,26.99
558,145,C0289,2025-06-07,53.4,60.69
559,145,C0071,2025-07-13,69.7,56.68
560,145,C0145,2026-01-05,82.2,69.66
561,145,C0063,2026-01-16,57.6,51.39
562,145,C0051,2026-06-12,62.4,47.61
563,146,C0386,2024-04-17,51.5,55.38
564,146,C0430,2024-07-09,54.3,46.41
565,146,C0067,2024-12-08,12.0,22.69
566,146,C0164,2025-03-05,45.0,38.11
567,146,C0359,2025-03-09,22.3,37.16
568,146,C0044,2025-09-23,64.1,67.45
569,146,C0428,2026-04-21,59.6,55.68
570,147,C0368,2023-09-01,54.3,39.61
571,147,C0346,2024-01-11,77.5,83.38
572,147,C0289,2024-03-22,75.8,86.08
573,147,C0422,2024-05-28,58.3,47.01
574,147,C0442,2024-09-28,57.0,48.32
575,147,C0025,2024-11-08,96.5,69.44
576,147,C0070,2025-03-11,58.6,56.92
577,147,C0470,2026-02-25,53.1,62.49
578,148,C0123,2025-05-11,36.3,57.67
579,148,C0077,2026-02-26,9.6,21.43
580,149,C0217,2025-10-17,80.8,54.24
581,149,C0120,2025-10-26,43.3,47.01
582,151,C0225,2025-01-14,48.2,31.27
583,151,C0160,2025-02-21,28.9,35.26
584,151,C0212,2025-08-19,19.9,28.05
585,152,C0331,2026-04-02,36.9,26.38
586,152,C0175,2026-04-05,47.5,29.7
587,153,C0346,2024-09-24,62.3,66.97
588,153,C0345,2024-12-23,27.9,32.49
589,153,C0495,2025-03-22,21.3,19.32
590,153,C0498,2025-03-27,53.7,55.91
591,153,C0097,2025-03-27,17.7,14.62
592,153,C0448,2025-04-22,26.8,48.82
593,153,C0449,2025-08-26,30.5,46.18
594,153,C0212,2025-10-09,21.5,30.29
595,153,C0035,2025-12-14,25.8,47.82
596,154,C0232,2026-02-12,21.5,34.74
597,155,C0099,2025-08-05,23.9,30.2
598,155,C0290,2026-04-18,24.3,54.1
599,156,C0500,2025-08-03,98.5,66.57
600,157,C0137,2025-11-17,25.9,25.37
601,157,C0016,2026-06-11,93.2,58.28
602,158,C0427,2026-01-28,20.7,18.47
603,158,C0422,2026-02-21,46.3,37.31
604,160,C0418,2024-12-30,67.0,62.66
605,163,C0099,2026-01-31,20.1,25.49
606,163,C0419,2026-03-02,48.6,47.62
